"Scenario","Difficulty","Hawthorne","Quality1","Quality2","Method","statistic","true_value","coverage_rate","mean_ci_width","nominal_coverage"
"s21","Medium",0.5,"A","A","cset","inc_rate",0.36600663155082,0.895,0.113116145550315,0.95
"s21","Medium",0.5,"A","A","examiner","err_rate",0.06855570809928,0.855,0.0397996898371624,0.95
"s21","Medium",0.5,"A","A","examiner","inc_rate",0.366821724115662,0.785,0.0836471997176542,0.95
"s21","Medium",0.5,"A","A","row","err_rate",0.0669370137921504,0.59,0.0224942085224566,0.95
"s21","Medium",0.5,"A","A","row","inc_rate",0.363388298265634,0.465,0.0344633380790085,0.95
"s22","Medium",0.5,"B","B","cset","err_rate",0.0969916977931616,0.795,0.0456432577565316,0.95
"s22","Medium",0.5,"B","B","cset","inc_rate",0.441902814482472,0.855,0.124151023900365,0.95
"s22","Medium",0.5,"B","B","examiner","err_rate",0.0982459494187295,0.82,0.0519677098267853,0.95
"s22","Medium",0.5,"B","B","examiner","inc_rate",0.445078824603881,0.735,0.0836165697949107,0.95
"s22","Medium",0.5,"B","B","row","err_rate",0.0965369596568828,0.605,0.0283435370713525,0.95
"s22","Medium",0.5,"B","B","row","inc_rate",0.442669296943388,0.38,0.0353236159507197,0.95
"s23","Medium",0.5,"C","C","cset","err_rate",0.136214322748403,0.86,0.0625976020993088,0.95
"s23","Medium",0.5,"C","C","cset","inc_rate",0.515561274842214,0.9,0.132924000494559,0.95
"s23","Medium",0.5,"C","C","examiner","err_rate",0.136002688907729,0.87,0.0650776060303228,0.95
"s23","Medium",0.5,"C","C","examiner","inc_rate",0.517129637120502,0.665,0.0773933672797162,0.95
"s23","Medium",0.5,"C","C","row","err_rate",0.136737462307265,0.51,0.0351899217398018,0.95
"s23","Medium",0.5,"C","C","row","inc_rate",0.516436182285811,0.395,0.0359974158799582,0.95
"s24","Medium",0.5,"C","D","cset","err_rate",0.136691125371138,0.875,0.0643136357661196,0.95
"s24","Medium",0.5,"C","D","cset","inc_rate",0.545492928251179,0.885,0.134852945510639,0.95
"s24","Medium",0.5,"C","D","examiner","err_rate",0.138373298026236,0.865,0.0676071451585954,0.95
"s24","Medium",0.5,"C","D","examiner","inc_rate",0.548505120427891,0.645,0.0752765824400008,0.95
"s24","Medium",0.5,"C","D","row","err_rate",0.138837286695221,0.57,0.0366778067844367,0.95
"s24","Medium",0.5,"C","D","row","inc_rate",0.547373387219377,0.395,0.0357157880915644,0.95
"s25","Difficult",0,"A","A","cset","err_rate",0.120649280373982,0.76,0.0457054152548134,0.95
"s25","Difficult",0,"A","A","cset","inc_rate",0.510519750098218,0.82,0.0992264113334435,0.95
"s25","Difficult",0,"A","A","examiner","err_rate",0.119357748442307,0.865,0.0646521027716525,0.95
"s25","Difficult",0,"A","A","examiner","inc_rate",0.50795444423135,0.83,0.104425444710105,0.95
