"Scenario","Difficulty","Hawthorne","Quality1","Quality2","Method","statistic","true_value","coverage_rate","mean_ci_width","nominal_coverage"
"s34","Difficult",0.5,"B","B","cset","err_rate",0.168036357783565,0.795,0.069126242308047,0.95
"s34","Difficult",0.5,"B","B","cset","inc_rate",0.63986041945215,0.815,0.103179966710598,0.95
"s34","Difficult",0.5,"B","B","examiner","err_rate",0.168036357783565,0.88,0.0823801607451738,0.95
"s34","Difficult",0.5,"B","B","examiner","inc_rate",0.63986041945215,0.775,0.0929175674888882,0.95
"s34","Difficult",0.5,"B","B","row","err_rate",0.168036357783565,0.615,0.0445624987315164,0.95
"s34","Difficult",0.5,"B","B","row","inc_rate",0.63986041945215,0.41,0.0342289423139409,0.95
"s35","Difficult",0.5,"C","C","combined","err_rate",0.227607428002633,0.96,0.156864559411685,0.95
"s35","Difficult",0.5,"C","C","combined","inc_rate",0.716494027523195,0.935,0.135241518055568,0.95
"s35","Difficult",0.5,"C","C","cset","err_rate",0.227607428002633,0.825,0.102896347137917,0.95
"s35","Difficult",0.5,"C","C","cset","inc_rate",0.716494027523195,0.85,0.104299752205306,0.95
